I,Q
0.50661,0.666402
-0.663602,0.771968
-0.635868,-0.663479
-0.526399,0.67495
-0.297763,0.61484
0.753226,-0.753185
-1.20079,-0.65883
-0.622729,-0.69112
0.760508,0.518645
0.586713,-0.809044
-0.232138,-0.767735
0.666122,-0.469757
-0.74331,-0.0589662
0.69765,0.548209
-0.551126,-0.464752
0.140218,-0.83547
1.42607,0.478031
-0.765422,-0.844676
0.837284,0.559448
-0.736132,0.570613
-0.74781,-0.930823
1.1723,-0.423925
0.732131,0.748259
0.538183,0.437999
-0.509081,-0.65027
-0.798959,-0.893512
1.04565,-0.771793
0.927318,0.780275
-0.559653,0.894629
0.940846,-0.594454
1.00625,-0.618608
0.439532,-0.782611
-0.938062,-0.625829
0.148075,-0.972479
-0.794825,-0.672962
0.389367,0.916739
0.840332,-0.83601
-0.698332,-0.827966
0.633205,0.739567
-0.453023,-0.675701
-0.657698,-0.529422
0.4721,-0.489415
0.518606,-0.920462
-0.41268,-0.863693
0.796526,-0.40499
0.555128,-0.604123
0.984784,0.911439
-0.505169,0.92283
-0.627577,1.01607
-1.01741,-0.211622
-0.732373,0.992724
-0.760389,0.949324
0.551253,0.985082
-1.09222,0.619658
-0.816666,-0.567579
-0.460111,0.311633
-0.671817,-0.669977
-0.64616,0.881222
-0.642115,-0.550476
-0.358817,0.485373
0.708528,0.844514
-0.657719,-0.154952
0.58385,-0.639901
-1.04182,1.01755
0.839595,0.432443
0.350491,-0.640711
0.785735,0.0773097
0.917695,0.69121
0.963502,0.517671
-1.0418,-0.511674
-0.5377,0.335106
0.937748,0.813999
0.78069,0.357177
-0.619443,-1.03321
0.53221,-0.857729
-0.385147,1.04882
0.483027,0.561263
0.71277,0.49704
0.984727,0.674842
0.605555,-0.630464
-0.599375,-0.333271
0.944787,-1.11897
-0.35861,-0.945711
-0.633304,-0.630711
0.378826,-0.595016
-0.608283,0.723674
0.888672,-0.875076
0.895732,0.782314
0.935805,1.13838
0.559,-0.608995
-0.671948,-0.800624
0.60108,-0.806334
0.762025,0.977044
-0.3266,-0.718841
-0.775912,1.00293
-0.606294,-0.804746
-0.474798,-0.809726
0.688762,0.90938
0.843648,-0.560268
-0.504631,-0.935823
0.525117,-0.753023
-0.770186,0.862829
-0.978932,-0.587203
0.835485,0.492612
-0.525215,-0.645915
0.483988,1.08492
0.593162,-0.449872
-1.11732,0.714255
0.557472,0.239633
-0.593698,0.872003
0.796272,-0.655578
0.493946,0.535305
-0.383063,0.302415
-0.58064,-0.968841
0.889128,-0.981529
-0.906793,0.928285
-0.917072,-0.244468
-0.922875,0.392953
-0.851485,-0.476085
-0.120749,0.503663
0.914182,0.626162
-0.706375,0.423394
-0.557398,0.838045
0.682655,-0.646501
0.690547,-0.919124
-0.424174,0.639995
-0.916811,0.896889
0.47826,0.889221
0.656594,-0.658821
-0.705861,-0.376652
-0.850351,0.701667
0.674784,0.400688
-0.722533,-0.337103
-0.71132,-1.16323
0.782886,-0.580081
-0.701653,0.761777
-0.567398,-0.655816
0.884603,-1.01163
0.739665,0.753283
-0.69998,-0.557367
0.70826,0.653227
-0.598929,0.423172
-0.525981,-0.939955
0.626768,-0.81139
-0.503534,0.884322
0.710311,1.00475
-0.524831,-0.556588
0.574819,-0.572222
0.380524,1.2195
0.916368,0.598173
-0.18324,0.512983
0.851112,0.561692
-0.412367,-0.216379
0.816143,-0.677967
-1.07565,0.623378
0.597658,-0.593787
0.560877,-1.08748
-0.569598,-0.46053
1.22842,0.696539
0.701838,-0.610761
0.529892,-0.68925
1.27424,0.963079
0.944325,1.00894
0.912304,0.477323
-0.551922,-1.01359
-1.07481,0.336656
0.71437,0.877173
0.979482,-1.00871
0.549647,-0.712284
0.963233,0.682302
0.683048,0.960515
-0.74068,1.24727
-0.752734,-1.15732
0.595464,0.587398
-0.540233,1.03485
-0.597625,-0.685866
-0.855992,0.471916
0.637222,-1.20843
0.626426,-0.467375
0.8783,0.981847
-0.511042,-0.737089
0.652918,0.370673
0.743719,0.492822
-0.619338,0.796837
-0.814407,-0.476051
-0.7887,-0.602415
1.01232,0.741875
1.13948,0.615021
-0.828476,-1.13184
-0.726068,-1.24803
0.612302,0.81247
0.335453,-0.675079
-0.591058,0.278975
-0.753242,0.47449
0.75168,0.455201
0.820997,0.415896
-0.740064,-0.942992
-0.686645,-0.633575
0.860426,-0.894029
0.451036,-0.738549
0.585334,1.10588
0.763488,0.910491
-0.537711,-0.309357
-0.451003,0.96775
0.611132,1.02661
-0.750398,-0.631767
-0.556642,0.742357
0.829795,-0.722751
0.561129,0.437397
-0.850533,-0.743548
0.49467,0.712876
-0.629714,0.75102
0.632114,0.651845
-0.663393,0.743418
0.863497,-0.425059
1.00749,-0.87493
0.714906,0.811432
0.611028,0.616794
-0.709078,-0.709684
1.26753,0.655229
-0.6816,-0.733157
-0.94637,0.349277
-0.732424,0.634194
0.410644,-0.898646
-0.650003,-0.572483
-0.96743,0.566091
0.220118,0.512762
0.986177,-1.17287
-0.688905,-0.949169
-0.33495,-0.887044
0.512242,-0.424406
0.483485,-0.282314
-0.779455,0.577241
-0.572888,-0.980905
-0.654933,0.700881
0.634835,0.75675
0.64466,0.569042
-0.709348,-0.401448
-1.00252,0.815901
